example,post,target,requested_tokens,available_control_tokens,removed_tokens,shortfall_tokens,exact_match,seed
0,0,Trump,1,1,1,0,True,1
0,1,Trump,1,37,1,0,True,1
0,2,Trump,2,29,2,0,True,1
0,3,Trump,1,8,1,0,True,1
0,4,Trump,2,21,2,0,True,1
0,5,Trump,1,17,1,0,True,1
0,6,Trump,4,53,4,0,True,1
0,7,Trump,0,13,0,0,True,1
1,0,Trump,0,10,0,0,True,1
1,1,Trump,0,8,0,0,True,1
1,2,Trump,1,8,1,0,True,1
1,3,Trump,2,18,2,0,True,1
1,4,Trump,0,10,0,0,True,1
1,5,Trump,1,31,1,0,True,1
1,6,Trump,0,2,0,0,True,1
1,7,Trump,0,16,0,0,True,1
1,8,Trump,0,16,0,0,True,1
2,0,Trump,2,28,2,0,True,1
2,1,Trump,2,30,2,0,True,1
2,2,Trump,2,46,2,0,True,1
2,3,Trump,1,30,1,0,True,1
2,4,Trump,2,51,2,0,True,1
2,5,Trump,0,3,0,0,True,1
2,6,Trump,0,6,0,0,True,1
3,0,Trump,2,34,2,0,True,1
3,1,Trump,1,12,1,0,True,1
3,2,Trump,1,42,1,0,True,1
3,3,Trump,1,6,1,0,True,1
3,4,Trump,1,10,1,0,True,1
3,5,Trump,0,4,0,0,True,1
3,6,Trump,0,22,0,0,True,1
3,7,Trump,0,7,0,0,True,1
3,8,Trump,1,8,1,0,True,1
4,0,Trump,1,4,1,0,True,1
4,1,Trump,0,46,0,0,True,1
4,2,Trump,1,21,1,0,True,1
4,3,Trump,0,10,0,0,True,1
4,4,Trump,2,24,2,0,True,1
4,5,Trump,1,14,1,0,True,1
4,6,Trump,2,13,2,0,True,1
4,7,Trump,1,5,1,0,True,1
5,0,Trump,1,9,1,0,True,1
5,1,Trump,2,16,2,0,True,1
5,2,Trump,1,4,1,0,True,1
5,3,Trump,2,1,1,1,False,1
5,4,Trump,1,14,1,0,True,1
5,5,Trump,1,8,1,0,True,1
6,0,Trump,2,4,2,0,True,1
6,1,Trump,1,10,1,0,True,1
6,2,Trump,3,18,3,0,True,1
6,3,Trump,2,15,2,0,True,1
6,4,Trump,2,16,2,0,True,1
6,5,Trump,2,11,2,0,True,1
6,6,Trump,2,22,2,0,True,1
6,7,Trump,1,19,1,0,True,1
6,8,Trump,2,31,2,0,True,1
7,0,Trump,2,11,2,0,True,1
7,1,Trump,1,17,1,0,True,1
7,2,Trump,1,20,1,0,True,1
7,3,Trump,2,11,2,0,True,1
7,4,Trump,1,5,1,0,True,1
7,5,Trump,0,4,0,0,True,1
7,6,Trump,1,4,1,0,True,1
7,7,Trump,0,2,0,0,True,1
8,0,Trump,1,10,1,0,True,1
8,1,Trump,1,2,1,0,True,1
8,2,Trump,1,6,1,0,True,1
8,3,Trump,0,10,0,0,True,1
8,4,Trump,1,4,1,0,True,1
8,5,Trump,1,9,1,0,True,1
8,6,Trump,1,8,1,0,True,1
8,7,Trump,1,17,1,0,True,1
9,0,Trump,1,8,1,0,True,1
9,1,Trump,1,20,1,0,True,1
9,2,Trump,0,1,0,0,True,1
9,3,Trump,1,7,1,0,True,1
9,4,Trump,1,23,1,0,True,1
9,5,Trump,1,6,1,0,True,1
9,6,Trump,2,26,2,0,True,1
9,7,Trump,0,14,0,0,True,1
10,0,Trump,1,8,1,0,True,1
10,1,Trump,1,0,0,1,False,1
10,2,Trump,1,8,1,0,True,1
10,3,Trump,1,13,1,0,True,1
10,4,Trump,1,13,1,0,True,1
10,5,Trump,1,3,1,0,True,1
10,6,Trump,1,7,1,0,True,1
11,0,Trump,1,32,1,0,True,1
11,1,Trump,0,4,0,0,True,1
11,2,Trump,2,58,2,0,True,1
11,3,Trump,1,8,1,0,True,1
11,4,Trump,0,7,0,0,True,1
11,5,Trump,1,4,1,0,True,1
11,6,Trump,1,20,1,0,True,1
12,0,Trump,1,32,1,0,True,1
12,1,Trump,1,26,1,0,True,1
12,2,Trump,2,6,2,0,True,1
12,3,Trump,1,6,1,0,True,1
12,4,Trump,0,13,0,0,True,1
12,5,Trump,1,12,1,0,True,1
12,6,Trump,0,28,0,0,True,1
12,7,Trump,0,7,0,0,True,1
13,0,Trump,1,32,1,0,True,1
13,1,Trump,1,1,1,0,True,1
13,2,Trump,1,30,1,0,True,1
13,3,Trump,0,4,0,0,True,1
13,4,Trump,0,4,0,0,True,1
13,5,Trump,1,7,1,0,True,1
13,6,Trump,2,6,2,0,True,1
13,7,Trump,0,8,0,0,True,1
14,0,Trump,1,58,1,0,True,1
14,1,Trump,1,12,1,0,True,1
14,2,Trump,1,15,1,0,True,1
14,3,Trump,2,44,2,0,True,1
14,4,Trump,2,52,2,0,True,1
14,5,Trump,2,50,2,0,True,1
14,6,Trump,2,9,2,0,True,1
15,0,Trump,0,3,0,0,True,1
15,1,Trump,0,15,0,0,True,1
15,2,Trump,0,9,0,0,True,1
15,3,Trump,1,7,1,0,True,1
15,4,Trump,0,2,0,0,True,1
15,5,Trump,1,17,1,0,True,1
15,6,Trump,0,4,0,0,True,1
15,7,Trump,2,15,2,0,True,1
16,0,Trump,1,32,1,0,True,1
16,1,Trump,1,7,1,0,True,1
16,2,Trump,1,0,0,1,False,1
16,3,Trump,2,6,2,0,True,1
16,4,Trump,2,17,2,0,True,1
16,5,Trump,2,1,1,1,False,1
16,6,Trump,1,17,1,0,True,1
16,7,Trump,2,15,2,0,True,1
17,0,Trump,2,4,2,0,True,1
17,1,Trump,2,13,2,0,True,1
17,2,Trump,2,6,2,0,True,1
17,3,Trump,1,7,1,0,True,1
17,4,Trump,1,2,1,0,True,1
17,5,Trump,0,0,0,0,True,1
17,6,Trump,0,0,0,0,True,1
18,0,Trump,1,16,1,0,True,1
18,1,Trump,1,11,1,0,True,1
18,2,Trump,1,8,1,0,True,1
18,3,Trump,4,34,4,0,True,1
18,4,Trump,2,20,2,0,True,1
18,5,Trump,14,23,14,0,True,1
19,0,Trump,0,5,0,0,True,1
19,1,Trump,1,1,1,0,True,1
19,2,Trump,0,5,0,0,True,1
19,3,Trump,1,6,1,0,True,1
19,4,Trump,0,5,0,0,True,1
19,5,Trump,1,17,1,0,True,1
19,6,Trump,1,6,1,0,True,1
19,7,Trump,2,7,2,0,True,1
20,0,Trump,0,25,0,0,True,1
20,1,Trump,1,54,1,0,True,1
20,2,Trump,1,16,1,0,True,1
20,3,Trump,0,43,0,0,True,1
20,4,Trump,1,21,1,0,True,1
20,5,Trump,1,56,1,0,True,1
20,6,Trump,1,13,1,0,True,1
20,7,Trump,2,20,2,0,True,1
21,0,Trump,1,4,1,0,True,1
21,1,Trump,0,28,0,0,True,1
21,2,Trump,3,12,3,0,True,1
21,3,Trump,1,2,1,0,True,1
21,4,Trump,1,23,1,0,True,1
21,5,Trump,1,8,1,0,True,1
21,6,Trump,1,18,1,0,True,1
22,0,Trump,3,50,3,0,True,1
22,1,Trump,1,9,1,0,True,1
22,2,Trump,1,11,1,0,True,1
22,3,Trump,1,13,1,0,True,1
22,4,Trump,2,11,2,0,True,1
22,5,Trump,1,30,1,0,True,1
22,6,Trump,0,3,0,0,True,1
22,7,Trump,0,12,0,0,True,1
23,0,Trump,0,21,0,0,True,1
23,1,Trump,2,13,2,0,True,1
23,2,Trump,0,21,0,0,True,1
23,3,Trump,0,25,0,0,True,1
23,4,Trump,1,0,0,1,False,1
23,5,Trump,1,7,1,0,True,1
23,6,Trump,1,20,1,0,True,1
24,0,Trump,1,8,1,0,True,1
24,1,Trump,1,9,1,0,True,1
24,2,Trump,1,8,1,0,True,1
24,3,Trump,2,23,2,0,True,1
24,4,Trump,3,29,3,0,True,1
24,5,Trump,1,11,1,0,True,1
25,0,Trump,0,13,0,0,True,1
25,1,Trump,1,5,1,0,True,1
25,2,Trump,1,10,1,0,True,1
25,3,Trump,1,4,1,0,True,1
25,4,Trump,1,17,1,0,True,1
25,5,Trump,1,6,1,0,True,1
25,6,Trump,1,26,1,0,True,1
25,7,Trump,0,3,0,0,True,1
26,0,Trump,0,9,0,0,True,1
26,1,Trump,2,17,2,0,True,1
26,2,Trump,2,7,2,0,True,1
26,3,Trump,2,5,2,0,True,1
26,4,Trump,1,16,1,0,True,1
26,5,Trump,0,9,0,0,True,1
26,6,Trump,1,8,1,0,True,1
27,0,Trump,1,31,1,0,True,1
27,1,Trump,1,9,1,0,True,1
27,2,Trump,1,18,1,0,True,1
27,3,Trump,0,15,0,0,True,1
27,4,Trump,1,5,1,0,True,1
27,5,Trump,1,36,1,0,True,1
27,6,Trump,4,24,4,0,True,1
28,0,Trump,0,25,0,0,True,1
28,1,Trump,1,1,1,0,True,1
28,2,Trump,1,4,1,0,True,1
28,3,Trump,1,2,1,0,True,1
28,4,Trump,1,9,1,0,True,1
28,5,Trump,0,6,0,0,True,1
28,6,Trump,1,15,1,0,True,1
29,0,Trump,2,14,2,0,True,1
29,1,Trump,1,1,1,0,True,1
29,2,Trump,1,6,1,0,True,1
29,3,Trump,2,3,2,0,True,1
29,4,Trump,1,16,1,0,True,1
29,5,Trump,1,20,1,0,True,1
30,0,Trump,0,9,0,0,True,1
30,1,Trump,1,31,1,0,True,1
30,2,Trump,1,2,1,0,True,1
30,3,Trump,1,6,1,0,True,1
30,4,Trump,1,9,1,0,True,1
30,5,Trump,0,0,0,0,True,1
30,6,Trump,1,6,1,0,True,1
31,0,Trump,1,0,0,1,False,1
31,1,Trump,1,0,0,1,False,1
31,2,Trump,1,8,1,0,True,1
31,3,Trump,1,13,1,0,True,1
31,4,Trump,2,11,2,0,True,1
31,5,Trump,2,14,2,0,True,1
31,6,Trump,1,5,1,0,True,1
31,7,Trump,2,17,2,0,True,1
32,0,Trump,1,14,1,0,True,1
32,1,Trump,1,19,1,0,True,1
32,2,Trump,0,17,0,0,True,1
32,3,Trump,0,4,0,0,True,1
32,4,Trump,2,11,2,0,True,1
32,5,Trump,1,9,1,0,True,1
32,6,Trump,2,50,2,0,True,1
33,0,Trump,3,19,3,0,True,1
33,1,Trump,2,20,2,0,True,1
33,2,Trump,1,17,1,0,True,1
33,3,Trump,1,6,1,0,True,1
33,4,Trump,0,12,0,0,True,1
33,5,Trump,2,23,2,0,True,1
34,0,Trump,0,25,0,0,True,1
34,1,Trump,0,15,0,0,True,1
34,2,Trump,1,7,1,0,True,1
34,3,Trump,0,10,0,0,True,1
34,4,Trump,1,6,1,0,True,1
34,5,Trump,0,1,0,0,True,1
34,6,Trump,0,11,0,0,True,1
34,7,Trump,0,9,0,0,True,1
34,8,Trump,0,17,0,0,True,1
35,0,Trump,1,2,1,0,True,1
35,1,Trump,0,8,0,0,True,1
35,2,Trump,2,46,2,0,True,1
35,3,Trump,1,12,1,0,True,1
35,4,Trump,1,8,1,0,True,1
35,5,Trump,2,2,2,0,True,1
35,6,Trump,3,18,3,0,True,1
35,7,Trump,0,0,0,0,True,1
36,0,Trump,2,48,2,0,True,1
36,1,Trump,3,30,3,0,True,1
36,2,Trump,2,42,2,0,True,1
36,3,Trump,2,32,2,0,True,1
36,4,Trump,0,35,0,0,True,1
36,5,Trump,0,54,0,0,True,1
36,6,Trump,0,13,0,0,True,1
36,7,Trump,0,15,0,0,True,1
37,0,Trump,2,26,2,0,True,1
37,1,Trump,1,24,1,0,True,1
37,2,Trump,0,7,0,0,True,1
37,3,Trump,1,21,1,0,True,1
37,4,Trump,0,19,0,0,True,1
37,5,Trump,2,41,2,0,True,1
38,0,Trump,1,0,0,1,False,1
38,1,Trump,1,6,1,0,True,1
38,2,Trump,1,2,1,0,True,1
38,3,Trump,1,6,1,0,True,1
38,4,Trump,1,7,1,0,True,1
38,5,Trump,1,5,1,0,True,1
39,0,Trump,2,47,2,0,True,1
39,1,Trump,0,23,0,0,True,1
39,2,Trump,4,16,4,0,True,1
39,3,Trump,1,11,1,0,True,1
39,4,Trump,0,11,0,0,True,1
39,5,Trump,0,10,0,0,True,1
39,6,Trump,0,1,0,0,True,1
39,7,Trump,2,35,2,0,True,1
40,0,Trump,1,10,1,0,True,1
40,1,Trump,1,4,1,0,True,1
40,2,Trump,1,3,1,0,True,1
40,3,Trump,1,9,1,0,True,1
40,4,Trump,2,11,2,0,True,1
40,5,Trump,0,3,0,0,True,1
40,6,Trump,2,13,2,0,True,1
40,7,Trump,0,16,0,0,True,1
41,0,Trump,0,7,0,0,True,1
41,1,Trump,1,32,1,0,True,1
41,2,Trump,0,18,0,0,True,1
41,3,Trump,1,2,1,0,True,1
41,4,Trump,1,2,1,0,True,1
41,5,Trump,0,10,0,0,True,1
41,6,Trump,3,19,3,0,True,1
41,7,Trump,0,3,0,0,True,1
42,0,Trump,0,31,0,0,True,1
42,1,Trump,1,0,0,1,False,1
42,2,Trump,1,17,1,0,True,1
42,3,Trump,0,1,0,0,True,1
42,4,Trump,1,11,1,0,True,1
42,5,Trump,1,38,1,0,True,1
43,0,Trump,1,13,1,0,True,1
43,1,Trump,1,14,1,0,True,1
43,2,Trump,1,6,1,0,True,1
43,3,Trump,1,4,1,0,True,1
43,4,Trump,1,50,1,0,True,1
43,5,Trump,1,8,1,0,True,1
43,6,Trump,2,12,2,0,True,1
43,7,Trump,2,21,2,0,True,1
44,0,Trump,0,9,0,0,True,1
44,1,Trump,0,10,0,0,True,1
44,2,Trump,0,5,0,0,True,1
44,3,Trump,2,22,2,0,True,1
44,4,Trump,0,5,0,0,True,1
44,5,Trump,1,20,1,0,True,1
45,0,Trump,1,15,1,0,True,1
45,1,Trump,0,15,0,0,True,1
45,2,Trump,1,9,1,0,True,1
45,3,Trump,1,6,1,0,True,1
45,4,Trump,0,13,0,0,True,1
45,5,Trump,1,33,1,0,True,1
46,0,Trump,4,16,4,0,True,1
46,1,Trump,2,14,2,0,True,1
46,2,Trump,1,30,1,0,True,1
46,3,Trump,0,8,0,0,True,1
46,4,Trump,1,36,1,0,True,1
46,5,Trump,1,9,1,0,True,1
46,6,Trump,0,15,0,0,True,1
46,7,Trump,1,21,1,0,True,1
46,8,Trump,1,47,1,0,True,1
47,0,Trump,2,7,2,0,True,1
47,1,Trump,0,5,0,0,True,1
47,2,Trump,0,2,0,0,True,1
47,3,Trump,1,37,1,0,True,1
47,4,Trump,2,13,2,0,True,1
47,5,Trump,1,6,1,0,True,1
47,6,Trump,0,27,0,0,True,1
47,7,Trump,2,12,2,0,True,1
47,8,Trump,1,22,1,0,True,1
48,0,Trump,1,20,1,0,True,1
48,1,Trump,1,4,1,0,True,1
48,2,Trump,1,47,1,0,True,1
48,3,Trump,0,27,0,0,True,1
48,4,Trump,0,8,0,0,True,1
48,5,Trump,1,22,1,0,True,1
48,6,Trump,2,55,2,0,True,1
49,0,Trump,1,24,1,0,True,1
49,1,Trump,1,0,0,1,False,1
49,2,Trump,1,7,1,0,True,1
49,3,Trump,1,0,0,1,False,1
49,4,Trump,1,6,1,0,True,1
49,5,Trump,0,9,0,0,True,1
49,6,Trump,1,30,1,0,True,1
50,0,Trump,6,34,6,0,True,1
50,1,Trump,4,2,2,2,False,1
50,2,Trump,7,3,3,4,False,1
50,3,Trump,2,1,1,1,False,1
50,4,Trump,1,0,0,1,False,1
50,5,Trump,4,2,2,2,False,1
51,0,Trump,1,0,0,1,False,1
51,1,Trump,1,4,1,0,True,1
51,2,Trump,1,4,1,0,True,1
51,3,Trump,1,16,1,0,True,1
51,4,Trump,1,6,1,0,True,1
51,5,Trump,2,11,2,0,True,1
52,0,Trump,1,1,1,0,True,1
52,1,Trump,0,7,0,0,True,1
52,2,Trump,0,32,0,0,True,1
52,3,Trump,0,22,0,0,True,1
52,4,Trump,1,26,1,0,True,1
52,5,Trump,1,19,1,0,True,1
52,6,Trump,0,12,0,0,True,1
53,0,Trump,1,3,1,0,True,1
53,1,Trump,1,22,1,0,True,1
53,2,Trump,1,45,1,0,True,1
53,3,Trump,1,6,1,0,True,1
53,4,Trump,1,19,1,0,True,1
53,5,Trump,0,6,0,0,True,1
53,6,Trump,0,2,0,0,True,1
53,7,Trump,1,17,1,0,True,1
54,0,Trump,1,19,1,0,True,1
54,1,Trump,2,58,2,0,True,1
54,2,Trump,2,21,2,0,True,1
54,3,Trump,1,5,1,0,True,1
54,4,Trump,1,7,1,0,True,1
54,5,Trump,3,42,3,0,True,1
54,6,Trump,1,31,1,0,True,1
54,7,Trump,1,5,1,0,True,1
54,8,Trump,0,15,0,0,True,1
55,0,Trump,0,16,0,0,True,1
55,1,Trump,0,3,0,0,True,1
55,2,Trump,3,35,3,0,True,1
55,3,Trump,2,11,2,0,True,1
55,4,Trump,0,6,0,0,True,1
55,5,Trump,2,50,2,0,True,1
55,6,Trump,0,2,0,0,True,1
55,7,Trump,0,3,0,0,True,1
55,8,Trump,0,6,0,0,True,1
56,0,Trump,1,25,1,0,True,1
56,1,Trump,1,36,1,0,True,1
56,2,Trump,1,13,1,0,True,1
56,3,Trump,1,42,1,0,True,1
56,4,Trump,1,3,1,0,True,1
56,5,Trump,0,2,0,0,True,1
56,6,Trump,0,37,0,0,True,1
56,7,Trump,1,8,1,0,True,1
57,0,Trump,1,8,1,0,True,1
57,1,Trump,3,11,3,0,True,1
57,2,Trump,0,2,0,0,True,1
57,3,Trump,2,11,2,0,True,1
57,4,Trump,0,9,0,0,True,1
57,5,Trump,1,10,1,0,True,1
57,6,Trump,0,19,0,0,True,1
57,7,Trump,0,6,0,0,True,1
58,0,Trump,0,12,0,0,True,1
58,1,Trump,0,4,0,0,True,1
58,2,Trump,1,6,1,0,True,1
58,3,Trump,1,38,1,0,True,1
58,4,Trump,1,17,1,0,True,1
58,5,Trump,1,14,1,0,True,1
58,6,Trump,0,15,0,0,True,1
59,0,Trump,2,23,2,0,True,1
59,1,Trump,1,17,1,0,True,1
59,2,Trump,1,1,1,0,True,1
59,3,Trump,1,40,1,0,True,1
59,4,Trump,1,24,1,0,True,1
60,0,Trump,1,4,1,0,True,1
60,1,Trump,1,12,1,0,True,1
60,2,Trump,0,22,0,0,True,1
60,3,Trump,0,4,0,0,True,1
60,4,Trump,1,13,1,0,True,1
60,5,Trump,2,11,2,0,True,1
60,6,Trump,0,10,0,0,True,1
61,0,Trump,2,6,2,0,True,1
61,1,Trump,1,11,1,0,True,1
61,2,Trump,0,6,0,0,True,1
61,3,Trump,1,21,1,0,True,1
61,4,Trump,2,52,2,0,True,1
61,5,Trump,0,7,0,0,True,1
61,6,Trump,1,45,1,0,True,1
61,7,Trump,0,3,0,0,True,1
62,0,Trump,2,15,2,0,True,1
62,1,Trump,2,34,2,0,True,1
62,2,Trump,1,5,1,0,True,1
62,3,Trump,1,4,1,0,True,1
62,4,Trump,2,26,2,0,True,1
62,5,Trump,2,23,2,0,True,1
62,6,Trump,1,3,1,0,True,1
62,7,Trump,1,5,1,0,True,1
62,8,Trump,2,0,0,2,False,1
63,0,Trump,1,4,1,0,True,1
63,1,Trump,1,6,1,0,True,1
63,2,Trump,2,11,2,0,True,1
63,3,Trump,1,9,1,0,True,1
63,4,Trump,1,15,1,0,True,1
63,5,Trump,1,7,1,0,True,1
63,6,Trump,2,7,2,0,True,1
63,7,Trump,2,16,2,0,True,1
63,8,Trump,1,4,1,0,True,1
63,9,Trump,1,12,1,0,True,1
64,0,Trump,1,0,0,1,False,1
64,1,Trump,1,16,1,0,True,1
64,2,Trump,0,3,0,0,True,1
64,3,Trump,1,4,1,0,True,1
64,4,Trump,1,40,1,0,True,1
64,5,Trump,1,9,1,0,True,1
64,6,Trump,2,5,2,0,True,1
65,0,Trump,1,6,1,0,True,1
65,1,Trump,1,14,1,0,True,1
65,2,Trump,1,13,1,0,True,1
65,3,Trump,1,22,1,0,True,1
65,4,Trump,1,1,1,0,True,1
65,5,Trump,1,13,1,0,True,1
65,6,Trump,1,3,1,0,True,1
66,0,Trump,0,46,0,0,True,1
66,1,Trump,0,12,0,0,True,1
66,2,Trump,2,6,2,0,True,1
66,3,Trump,0,13,0,0,True,1
66,4,Trump,1,48,1,0,True,1
66,5,Trump,1,14,1,0,True,1
66,6,Trump,0,15,0,0,True,1
66,7,Trump,0,29,0,0,True,1
67,0,Trump,1,46,1,0,True,1
67,1,Trump,2,11,2,0,True,1
67,2,Trump,1,13,1,0,True,1
67,3,Trump,1,14,1,0,True,1
67,4,Trump,1,21,1,0,True,1
67,5,Trump,0,30,0,0,True,1
67,6,Trump,0,20,0,0,True,1
68,0,Trump,1,3,1,0,True,1
68,1,Trump,0,5,0,0,True,1
68,2,Trump,1,17,1,0,True,1
68,3,Trump,2,10,2,0,True,1
68,4,Trump,1,44,1,0,True,1
68,5,Trump,1,8,1,0,True,1
68,6,Trump,2,11,2,0,True,1
68,7,Trump,2,11,2,0,True,1
69,0,Trump,1,0,0,1,False,1
69,1,Trump,0,5,0,0,True,1
69,2,Trump,1,57,1,0,True,1
69,3,Trump,1,4,1,0,True,1
69,4,Trump,1,3,1,0,True,1
69,5,Trump,1,3,1,0,True,1
69,6,Trump,0,4,0,0,True,1
70,0,Trump,0,21,0,0,True,1
70,1,Trump,3,48,3,0,True,1
70,2,Trump,1,50,1,0,True,1
70,3,Trump,0,14,0,0,True,1
70,4,Trump,1,24,1,0,True,1
70,5,Trump,0,21,0,0,True,1
70,6,Trump,2,38,2,0,True,1
70,7,Trump,3,48,3,0,True,1
70,8,Trump,1,36,1,0,True,1
71,0,Trump,0,4,0,0,True,1
71,1,Trump,0,22,0,0,True,1
71,2,Trump,0,13,0,0,True,1
71,3,Trump,0,11,0,0,True,1
71,4,Trump,2,5,2,0,True,1
71,5,Trump,1,12,1,0,True,1
71,6,Trump,1,13,1,0,True,1
71,7,Trump,1,8,1,0,True,1
72,0,Trump,2,64,2,0,True,1
72,1,Trump,1,5,1,0,True,1
72,2,Trump,1,8,1,0,True,1
72,3,Trump,1,22,1,0,True,1
72,4,Trump,1,3,1,0,True,1
72,5,Trump,0,1,0,0,True,1
72,6,Trump,0,2,0,0,True,1
72,7,Trump,0,0,0,0,True,1
73,0,Trump,1,8,1,0,True,1
73,1,Trump,0,5,0,0,True,1
73,2,Trump,1,8,1,0,True,1
73,3,Trump,1,21,1,0,True,1
73,4,Trump,2,42,2,0,True,1
73,5,Trump,1,17,1,0,True,1
73,6,Trump,1,16,1,0,True,1
74,0,Trump,0,4,0,0,True,1
74,1,Trump,0,4,0,0,True,1
74,2,Trump,1,6,1,0,True,1
74,3,Trump,1,0,0,1,False,1
74,4,Trump,1,3,1,0,True,1
74,5,Trump,0,9,0,0,True,1
74,6,Trump,1,10,1,0,True,1
74,7,Trump,0,5,0,0,True,1
75,0,Trump,1,15,1,0,True,1
75,1,Trump,1,11,1,0,True,1
75,2,Trump,1,12,1,0,True,1
75,3,Trump,0,35,0,0,True,1
75,4,Trump,0,8,0,0,True,1
75,5,Trump,1,46,1,0,True,1
75,6,Trump,1,26,1,0,True,1
76,0,Trump,1,17,1,0,True,1
76,1,Trump,1,22,1,0,True,1
76,2,Trump,0,26,0,0,True,1
76,3,Trump,1,6,1,0,True,1
76,4,Trump,0,4,0,0,True,1
76,5,Trump,4,7,4,0,True,1
76,6,Trump,1,18,1,0,True,1
76,7,Trump,0,9,0,0,True,1
76,8,Trump,0,0,0,0,True,1
77,0,Trump,2,11,2,0,True,1
77,1,Trump,1,24,1,0,True,1
77,2,Trump,1,3,1,0,True,1
77,3,Trump,0,6,0,0,True,1
77,4,Trump,1,6,1,0,True,1
77,5,Trump,1,22,1,0,True,1
77,6,Trump,1,14,1,0,True,1
77,7,Trump,0,11,0,0,True,1
78,0,Trump,2,30,2,0,True,1
78,1,Trump,1,8,1,0,True,1
78,2,Trump,2,6,2,0,True,1
78,3,Trump,0,12,0,0,True,1
78,4,Trump,2,46,2,0,True,1
78,5,Trump,1,43,1,0,True,1
79,0,Trump,1,22,1,0,True,1
79,1,Trump,1,15,1,0,True,1
79,2,Trump,0,29,0,0,True,1
79,3,Trump,0,3,0,0,True,1
79,4,Trump,1,12,1,0,True,1
79,5,Trump,0,8,0,0,True,1
79,6,Trump,0,16,0,0,True,1
80,0,Trump,1,6,1,0,True,1
80,1,Trump,1,8,1,0,True,1
80,2,Trump,0,2,0,0,True,1
80,3,Trump,2,11,2,0,True,1
80,4,Trump,0,7,0,0,True,1
80,5,Trump,1,3,1,0,True,1
80,6,Trump,1,13,1,0,True,1
81,0,Trump,0,38,0,0,True,1
81,1,Trump,1,16,1,0,True,1
81,2,Trump,4,47,4,0,True,1
81,3,Trump,2,16,2,0,True,1
81,4,Trump,0,10,0,0,True,1
81,5,Trump,3,17,3,0,True,1
81,6,Trump,1,35,1,0,True,1
81,7,Trump,0,18,0,0,True,1
82,0,Trump,0,8,0,0,True,1
82,1,Trump,1,8,1,0,True,1
82,2,Trump,0,1,0,0,True,1
82,3,Trump,2,54,2,0,True,1
82,4,Trump,1,12,1,0,True,1
82,5,Trump,1,17,1,0,True,1
82,6,Trump,1,10,1,0,True,1
82,7,Trump,0,7,0,0,True,1
83,0,Trump,1,45,1,0,True,1
83,1,Trump,2,19,2,0,True,1
83,2,Trump,1,27,1,0,True,1
83,3,Trump,1,16,1,0,True,1
83,4,Trump,1,14,1,0,True,1
83,5,Trump,0,48,0,0,True,1
83,6,Trump,0,10,0,0,True,1
84,0,Trump,0,4,0,0,True,1
84,1,Trump,0,46,0,0,True,1
84,2,Trump,1,1,1,0,True,1
84,3,Trump,0,5,0,0,True,1
84,4,Trump,2,13,2,0,True,1
84,5,Trump,1,17,1,0,True,1
84,6,Trump,1,9,1,0,True,1
84,7,Trump,1,9,1,0,True,1
84,8,Trump,0,28,0,0,True,1
85,0,Trump,1,7,1,0,True,1
85,1,Trump,1,14,1,0,True,1
85,2,Trump,1,23,1,0,True,1
85,3,Trump,1,4,1,0,True,1
85,4,Trump,1,12,1,0,True,1
85,5,Trump,1,20,1,0,True,1
85,6,Trump,1,13,1,0,True,1
85,7,Trump,1,43,1,0,True,1
86,0,Trump,1,15,1,0,True,1
86,1,Trump,0,4,0,0,True,1
86,2,Trump,1,17,1,0,True,1
86,3,Trump,2,11,2,0,True,1
86,4,Trump,2,5,2,0,True,1
86,5,Trump,0,3,0,0,True,1
86,6,Trump,1,18,1,0,True,1
87,0,Trump,1,13,1,0,True,1
87,1,Trump,1,4,1,0,True,1
87,2,Trump,2,11,2,0,True,1
87,3,Trump,2,35,2,0,True,1
87,4,Trump,1,43,1,0,True,1
87,5,Trump,1,43,1,0,True,1
88,0,Trump,0,23,0,0,True,1
88,1,Trump,0,34,0,0,True,1
88,2,Trump,3,24,3,0,True,1
88,3,Trump,2,13,2,0,True,1
88,4,Trump,1,49,1,0,True,1
88,5,Trump,1,21,1,0,True,1
88,6,Trump,2,41,2,0,True,1
89,0,Trump,1,54,1,0,True,1
89,1,Trump,1,23,1,0,True,1
89,2,Trump,1,31,1,0,True,1
89,3,Trump,1,7,1,0,True,1
89,4,Trump,1,5,1,0,True,1
89,5,Trump,1,22,1,0,True,1
89,6,Trump,1,6,1,0,True,1
90,0,Trump,2,26,2,0,True,1
90,1,Trump,2,9,2,0,True,1
90,2,Trump,2,12,2,0,True,1
90,3,Trump,1,22,1,0,True,1
90,4,Trump,1,16,1,0,True,1
90,5,Trump,0,19,0,0,True,1
90,6,Trump,1,13,1,0,True,1
90,7,Trump,1,14,1,0,True,1
90,8,Trump,1,15,1,0,True,1
91,0,Trump,0,6,0,0,True,1
91,1,Trump,0,16,0,0,True,1
91,2,Trump,2,23,2,0,True,1
91,3,Trump,2,20,2,0,True,1
91,4,Trump,1,6,1,0,True,1
91,5,Trump,2,11,2,0,True,1
91,6,Trump,0,6,0,0,True,1
92,0,Trump,0,4,0,0,True,1
92,1,Trump,2,16,2,0,True,1
92,2,Trump,1,5,1,0,True,1
92,3,Trump,1,7,1,0,True,1
92,4,Trump,1,26,1,0,True,1
92,5,Trump,1,26,1,0,True,1
92,6,Trump,0,37,0,0,True,1
