intervention,intervention_macro_f1,control_macro_f1_mean,control_macro_f1_sd,macro_f1_vs_control,intervention_flip_rate,control_flip_rate_mean,control_flip_rate_sd,flip_rate_vs_control
candidate_mentions_masked,0.5891686249348599,0.7322518927582907,0.0032506518462325448,-0.14308326782343084,0.2752808988764045,0.013258426966292137,0.0030149231157300537,0.26202247191011235
lexical_cues_top10_masked,0.7323985267266617,0.7329856923605285,0.0005616383822082166,-0.0005871656338667375,0.0022471910112359553,0.0017977528089887641,0.0010049743719100178,0.00044943820224719114
lexical_cues_top25_masked,0.7309240410141845,0.7312249062327001,0.0011387027536881884,-0.000300865218515578,0.0033707865168539327,0.003820224719101124,0.0012810959832574582,-0.00044943820224719114
