intervention,intervention_flip_rate,control_flip_rate_mean,control_flip_rate_sd,intervention_original_class_prob_change,control_original_class_prob_change_mean,control_original_class_prob_change_sd,intervention_mean_abs_prob_change,control_mean_abs_prob_change_mean,control_mean_abs_prob_change_sd
candidate_mentions_masked,0.29062870699881377,0.013997627520759195,0.0031830149145904473,-0.20088102943730546,0.0035704557080622674,0.0003823377845601534,0.1701581837288946,0.010533835234105487,0.0004368210259723552
lexical_cues_top10_masked,0.015873015873015872,0.012698412698412698,0.007098628499999332,-0.0016719030447914017,-0.007587016846921231,0.001131458515643895,0.01719962493401567,0.011316998590281393,0.00047600542175510517
lexical_cues_top25_masked,0.01090909090909091,0.012363636363636363,0.0041460924549059554,0.0012231690097672502,-0.0038295984232631503,0.0007996069138699772,0.01471961777687089,0.009161520530417184,0.0004006055605454754
