k,n,macro_f1,delta_macro_f1,flip_rate_vs_full,mean_full_class_probability_change,mean_absolute_probability_change,full_context_macro_f1
1,721,0.561933088355179,-0.1743707044977394,0.2912621359223301,-0.1441489433966426,0.1769741845624637,0.7363037928529184
2,721,0.6096335515455965,-0.12667024130732185,0.24826629680998613,-0.12785403282748709,0.1485108930707265,0.7363037928529184
3,721,0.6412725460329939,-0.09503124681992448,0.1914008321775312,-0.09871063020086149,0.11771004423020164,0.7363037928529184
4,721,0.6722891549050907,-0.06401463794782769,0.14701803051317613,-0.07187038143030046,0.08997201992317574,0.7363037928529184
5,721,0.6817085295354466,-0.054595263317471776,0.11511789181692095,-0.04966884944412336,0.06941222894935237,0.7363037928529184
6,721,0.6997617919345226,-0.03654200091839577,0.09153952843273232,-0.030464602726713544,0.04902770946944297,0.7363037928529184
7,721,0.7217205108338263,-0.014583282019092092,0.04576976421636616,-0.011465531527728194,0.024936867351377255,0.7363037928529184
