intervention,intervention_flip_rate,control_flip_rate_mean,control_flip_rate_sd,intervention_original_class_prob_change,control_original_class_prob_change_mean,control_original_class_prob_change_sd,intervention_mean_abs_prob_change,control_mean_abs_prob_change_mean,control_mean_abs_prob_change_sd
candidate_mentions_masked,0.41162514827995256,0.03795966785290629,0.004670230055760268,-0.35519093,-0.01989502,0.001155872829258442,0.27242255,0.023587605,0.000578120001591742
lexical_cues_top10_masked,0.031746031746031744,0.012698412698412698,0.0043470044246441755,-0.013598431,-0.005320511,0.0044117700308561325,0.013717136,0.0089681065,0.0024972804822027683
lexical_cues_top25_masked,0.01818181818181818,0.013818181818181818,0.0059751551727836305,-0.004516044,-0.0060690856,0.001255304436199367,0.012234142,0.00882679,0.0012340284883975983
