k,n,macro_f1,delta_macro_f1,flip_rate_vs_full,mean_full_class_probability_change,mean_absolute_probability_change,full_context_macro_f1
1,721,0.4715457437430532,-0.3361292658177481,0.47434119278779474,-0.39545923,0.30930597,0.8076750095608013
2,721,0.6194000957798562,-0.18827491378094507,0.30513176144244103,-0.25320312,0.21012819,0.8076750095608013
3,721,0.680332591144246,-0.12734241841655525,0.22330097087378642,-0.1716866,0.15366477,0.8076750095608013
4,721,0.7224678002120403,-0.08520720934876103,0.1539528432732316,-0.110607214,0.11192931,0.8076750095608013
5,721,0.737560669236989,-0.07011434032381225,0.11511789181692095,-0.077167556,0.08365303,0.8076750095608013
6,721,0.7654518932944118,-0.042223116266389527,0.08321775312066575,-0.05021092,0.058889937,0.8076750095608013
7,721,0.8015787895335788,-0.006096220027222543,0.03467406380027739,-0.015914239,0.028120365,0.8076750095608013
